,HexId,HexLevel,AverageMotorVehicles,AreaConnectorCount,AreaStationCount,CentroidCoor,KNumber
109,871958292ffffff,7,0.0,0.0,0.0,"[51.32710524696322, -2.6733439449884684]",3
110,8719583a0ffffff,7,0.0,0.0,0.0,"[51.49438915269308, -2.421231330572333]",2
111,87195876dffffff,7,2623.872552910053,2.0,1.0,"[51.42712336384187, -2.585671776128556]",0
112,87195866dffffff,7,0.0,0.0,0.0,"[51.290192596209266, -2.6624396026439805]",4
113,871958399ffffff,7,0.0,0.0,0.0,"[51.394642230716876, -2.5091774659044606]",1
114,871958664ffffff,7,0.0,0.0,0.0,"[51.361758712259906, -2.7170977650954633]",1
115,87195876bffffff,7,980.1770833333333,0.0,0.0,"[51.40536321514972, -2.6294985680573437]",1
116,871958213ffffff,7,0.0,0.0,0.0,"[51.3252310352313, -2.42207681996219]",3
117,871958770ffffff,7,0.0,0.0,0.0,"[51.49196450859629, -2.739054523187255]",1
118,871958293ffffff,7,0.0,0.0,0.0,"[51.30977268325481, -2.651492175711781]",3
119,871958702ffffff,7,0.0,0.0,0.0,"[51.55664259230918, -2.892963189528013]",5
120,8719580cdffffff,7,0.0,5.0,2.0,"[51.52256426235642, -2.563535921414684]",0
121,87195866cffffff,7,0.0,0.0,0.0,"[51.30752529809809, -2.684289119364662]",3
122,87195876cffffff,7,22371.44005265568,68.0,39.0,"[51.44445504891417, -2.6075370028861404]",0
123,871958764ffffff,7,1571.888888888889,0.0,0.0,"[51.49864300419831, -2.6403318929367896]",1
124,8719580d8ffffff,7,0.0,0.0,0.0,"[51.53327864264708, -2.6841847078226593]",2
125,8719587adffffff,7,0.0,0.0,0.0,"[51.53249329877178, -2.969861444814914]",7
126,871958619ffffff,7,73.625,0.0,0.0,"[51.363036573729914, -2.969104067794097]",7
127,871958630ffffff,7,0.0,0.0,0.0,"[51.47603715373642, -2.9696084924097987]",6
128,8719586eeffffff,7,0.0,0.0,0.0,"[51.289193705122806, -2.946870727073906]",8
129,871958676ffffff,7,0.0,0.0,0.0,"[51.37226294588363, -2.837581828473151]",3
130,8719586e4ffffff,7,2983.471955128205,0.0,0.0,"[51.34574222023821, -2.9471006759307214]",6
131,87195828effffff,7,0.0,0.0,0.0,"[51.27954652601145, -2.5423203722633123]",2
132,871958295ffffff,7,0.0,0.0,0.0,"[51.33157816517203, -2.6077384329781497]",2
133,8719580ebffffff,7,0.0,6.0,2.0,"[51.542076032183815, -2.552519382331271]",0
134,871958656ffffff,7,674.05,0.0,0.0,"[51.330757631637816, -2.892253945132451]",5
135,871958745ffffff,7,0.0,0.0,0.0,"[51.44001549382342, -2.6732704721458056]",1
136,871958621ffffff,7,752.1180555555555,0.0,0.0,"[51.446046286805064, -2.859689204194268]",3
137,87195862dffffff,7,0.0,0.0,0.0,"[51.411439629707324, -2.815738344106927]",3
138,8719586e6ffffff,7,7517.338541666666,0.0,0.0,"[51.34341485468875, -2.979980879388712]",7
139,871958762ffffff,7,1356.343253968254,0.0,0.0,"[51.476884312509924, -2.6842108871456727]",1
140,87195874affffff,7,0.0,14.0,8.0,"[51.38133219266507, -2.706150656941528]",0
141,871958389ffffff,7,0.0,0.0,0.0,"[51.381646293549785, -2.421795538902217]",3
142,871958291ffffff,7,0.0,0.0,0.0,"[51.31201029491776, -2.6187010225816523]",3
143,8719582a3ffffff,7,0.0,0.0,0.0,"[51.33821428249208, -2.5093738715154674]",2
144,87195862cffffff,7,51.333333333333336,0.0,0.0,"[51.42874493680193, -2.8377053558796823]",3
145,87195875effffff,7,0.0,0.0,0.0,"[51.413709591799915, -2.782854392670952]",2
146,8719586c5ffffff,7,0.0,0.0,0.0,"[51.286858109336606, -2.979718884400267]",9
147,8719582aeffffff,7,0.0,0.0,0.0,"[51.3208631185394, -2.487594713792259]",1
