,HexId,HexLevel,AverageMotorVehicles,AreaConnectorCount,AreaStationCount,CentroidCoor,KNumber,AverageMotorVehiclesPerHex,IniCostHardwareCost,IniCostInstallationCost,IniGridReinforcementCost,DailyDemandPerStation,DailyElectricityCost,DailyEstimatedRevenue,MonthlyEstimatedRevenue,MonthlyElectricityCost,MonthlyMaintenanceCost
60,8719586ecffffff,7,0.0,0.0,0.0,"[51.29151947773667, -2.914028179800889]",7,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
61,87195866dffffff,7,0.0,0.0,0.0,"[51.290192596209266, -2.6624396026439805]",4,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
62,8719580eaffffff,7,0.0,0.0,0.0,"[51.55940300583498, -2.5744126121796493]",1,437.3657218138055,1000,400,0,0.0,0.0,0.0,0.0,0.0,300
63,871958291ffffff,7,0.0,0.0,0.0,"[51.31201029491776, -2.6187010225816523]",3,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
64,8719583b2ffffff,7,0.0,6.0,3.0,"[51.50523320999027, -2.541661778585095]",0,437.3657218138055,1000,400,0,0.0,0.0,0.0,0.0,0.0,300
65,871958385ffffff,7,0.0,0.0,0.0,"[51.45538266056719, -2.443305946055979]",2,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
66,87195865effffff,7,0.0,0.0,0.0,"[51.276525297416335, -2.859255003208087]",6,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
67,8719580e9ffffff,7,0.0,0.0,0.0,"[51.54425085898287, -2.5196177418059045]",1,437.3657218138055,1000,400,0,0.0,0.0,0.0,0.0,0.0,300
68,87195874bffffff,7,0.0,0.0,0.0,"[51.36400755354163, -2.6842630927677416]",1,437.3657218138055,1000,400,0,0.0,0.0,0.0,0.0,0.0,300
69,8719583b0ffffff,7,0.0,5.0,2.0,"[51.50741035164071, -2.508783504552827]",0,437.3657218138055,1000,400,0,0.0,0.0,0.0,0.0,0.0,300
70,871958755ffffff,7,275.4170138888889,0.0,0.0,"[51.452849446834136, -2.760967431090639]",1,437.3657218138055,1000,400,0,0.2955515508430552,0.5151818193055463,7.684340321919435,230.53020965758304,15.455454579166389,300
