hex9,mean_car,total_charger,min_k,min_k_hex,total_number_of_cell,charger_count,lat,lon,cars_density
89195839e8fffff,984.0208333333334,0.0,3,89195839eb7ffff,1.0,11.0,51.43242983130957,-2.546564641784902,12456.058470316906
89195875dd3ffff,40.572916666666664,0.0,30,89195862eb3ffff,1.0,4.0,51.40919329977866,-2.7311875138331856,513.5852872132232
89195839073ffff,1272.375,0.0,1,8919583907bffff,1.0,4.0,51.463088410858894,-2.5699453210527974,16106.140093073374
8919583939bffff,1064.325,0.0,3,8919583907bffff,1.0,4.0,51.45503221951327,-2.5699649754353664,13472.574952007326
8919586e04fffff,613.34375,0.0,8,8919586e613ffff,1.0,3.0,51.325122619019396,-2.9720660397334746,7763.906366213556
89195860b93ffff,1076.4305555555557,0.0,1,89195860b83ffff,1.0,3.0,51.35679564284228,-2.904860516352221,13625.811044890524
89195839ec3ffff,565.8833333333333,0.0,6,89195839eb7ffff,1.0,11.0,51.43706964382654,-2.557497672822937,7163.136844878282
8919586e637ffff,506.53125,0.0,4,8919586e613ffff,1.0,3.0,51.33600449694259,-2.970548944985022,6411.838706371606
89195876ea3ffff,1261.1875,0.0,3,89195876c5bffff,3.0,10.0,51.44039974163763,-2.627883567640219,15964.525048537558
8919586e68fffff,486.3722222222222,0.0,1,8919586e613ffff,1.0,3.0,51.34655238299273,-2.97372888021962,6156.659120534847
8919587668bffff,2010.5277777777778,0.0,16,8919587652fffff,1.0,2.0,51.50201012935213,-2.6700951943967404,25449.920070658714
89195876607ffff,22.4375,0.0,15,8919587652fffff,1.0,2.0,51.49395370439978,-2.6701009005572267,284.0212345718313
89195839093ffff,1149.4375,0.0,1,8919583942fffff,1.0,6.0,51.474873105557634,-2.5542676435580085,14549.956894179802
89195876883ffff,1605.861111111111,0.0,4,89195876c73ffff,1.0,2.0,51.43081383692542,-2.610689054571734,20327.516672029884
89195839353ffff,386.3666666666667,10.0,0,89195839353ffff,1.0,10.0,51.45129891487509,-2.585618506717932,4890.755996170245
8919583906fffff,745.6770833333334,0.0,2,8919583907bffff,1.0,4.0,51.457508381670145,-2.573088004996705,9439.025105303874
8919583930bffff,1225.4761904761904,0.0,1,89195839357ffff,1.0,9.0,51.44634680368728,-2.5793717818234483,15512.479579161327
89195839047ffff,1357.8472222222222,0.0,1,8919583907bffff,1.0,4.0,51.46556448713522,-2.573068784761698,17188.075517124784
891958642dbffff,474.0625,0.0,24,89195860b83ffff,1.0,3.0,51.30866061510638,-2.823369470622437,6000.838619017662
8919583907bffff,161.09583333333333,4.0,0,8919583907bffff,1.0,4.0,51.46277453906176,-2.574640147586947,2039.203898282398
8919586e3d7ffff,661.8869047619048,0.0,12,8919586e613ffff,1.0,3.0,51.31457294005835,-2.9688876200012277,8378.381541499914
89195876a8bffff,777.8166666666667,0.0,10,89195876c5bffff,3.0,10.0,51.42827841248094,-2.648240102182428,9845.858493023432
89195876687ffff,101.18333333333334,0.0,14,8919587652fffff,1.0,2.0,51.49985299593724,-2.662262589482275,1280.8118217905944
89195839e8bffff,1038.75,0.0,4,89195839eb7ffff,1.0,11.0,51.43490663141741,-2.5496848816364266,13148.838213325449
8919586e067ffff,48.66346153846154,0.0,11,8919586e613ffff,1.0,3.0,51.31771017584723,-2.962639522842514,615.9980579250217
89195839173ffff,224.6125,0.0,7,89195839eb7ffff,1.0,11.0,51.4457536522983,-2.5480906851134555,2843.2186986190736
89195839ab3ffff,196.16666666666666,0.0,7,89195839eb7ffff,1.0,11.0,51.41073190216813,-2.5497522567388953,2483.14200996134
8919586e0afffff,229.22916666666666,0.0,10,8919586e613ffff,1.0,3.0,51.32151180513973,-2.9470012031285804,2901.6579795671864
8919586e613ffff,301.50877192982455,3.0,0,8919586e613ffff,1.0,3.0,51.34621942283527,-2.9784265757665973,3816.596930930161
8919586e617ffff,238.23333333333332,0.0,1,8919586e613ffff,1.0,3.0,51.34374902515511,-2.975282495668282,3015.6356746293454
89195839347ffff,396.34583333333336,0.0,1,89195839357ffff,2.0,13.0,51.44603219116822,-2.5840655400104935,5017.075561035526
89195876eb7ffff,607.0972222222222,0.0,2,89195876c43ffff,2.0,5.0,51.44071627608395,-2.6231889138936055,7684.835768721335
8919583922bffff,805.03125,0.0,1,89195876c93ffff,1.0,8.0,51.45593578994942,-2.5965615531342814,10190.349615327223
8919587719bffff,392.1458333333333,0.0,23,8919587652fffff,1.0,2.0,51.483031832186974,-2.7124088005749045,4963.91058342208
891958755afffff,298.65416666666664,0.0,26,89195862eb3ffff,1.0,4.0,51.448226041496554,-2.749997030414519,3780.462401189443
89195876c93ffff,1013.2833333333333,8.0,0,89195876c93ffff,1.0,8.0,51.45314496816534,-2.5981318055902567,12826.472793510586
891958396cfffff,305.6904761904762,0.0,8,8919583901bffff,1.0,2.0,51.48847426280781,-2.591800160287286,3869.530315073874
89195839667ffff,35.888888888888886,0.0,5,8919583907bffff,1.0,4.0,51.475153742717545,-2.5902623891331857,454.29332722600554
891958393cbffff,1337.7916666666667,0.0,1,89195839353ffff,1.0,10.0,51.454089492964236,-2.584047852373958,16934.205716616132
89195876e9bffff,397.0520833333333,0.0,3,89195876c5bffff,1.0,5.0,51.45061744055011,-2.635694263960074,5026.015505187787
89195875417ffff,324.34166666666664,0.0,26,89195862eb3ffff,1.0,4.0,51.47048160982019,-2.7782218432811416,4105.623201771678
89195876583ffff,475.0,0.0,6,8919587652fffff,1.0,2.0,51.487216117658996,-2.6105911428232407,6012.705801520662
8919586e493ffff,639.5952380952381,0.0,7,89195860b83ffff,1.0,3.0,51.35448209926083,-2.9377380712512497,8096.206313095216
891958390b7ffff,533.4204545454545,0.0,4,8919583942fffff,1.0,6.0,51.46465477332967,-2.5464729864818594,6752.211077253143
89195876c13ffff,514.6011904761905,0.0,1,89195876c8bffff,1.0,2.0,51.44724745665366,-2.605966446422451,6513.990659885537
891958754dbffff,201.1547619047619,0.0,26,89195862eb3ffff,1.0,4.0,51.480370877098075,-2.7907751454188037,2546.2829555963567
89195862e13ffff,227.33928571428572,0.0,3,89195862eb3ffff,1.0,4.0,51.42926066680334,-2.8690489995070885,2877.735246584946
8919580c94bffff,576.7321428571429,0.0,13,8919587652fffff,2.0,8.0,51.504582442218975,-2.591766910436261,7300.464634274919
89195876d4bffff,736.3690476190476,0.0,5,89195876c73ffff,1.0,2.0,51.42865398055124,-2.6028718993878717,9321.200936166932
89195876673ffff,388.5885416666667,0.0,17,8919587652fffff,1.0,2.0,51.493318813659904,-2.6795018702406233,4918.881218702359
89195876dd7ffff,44.25,0.0,5,89195839357ffff,2.0,13.0,51.4351832001586,-2.5856534380043894,560.1310141416617
89195860a5bffff,55.775,0.0,11,8919586e613ffff,1.0,3.0,51.3696380614328,-2.951897285728318,706.0182443785578
89195862137ffff,144.45833333333334,0.0,4,89195862eb3ffff,1.0,4.0,51.438632995779244,-2.8502646183259444,1828.600966129135
89195860ab7ffff,473.3833333333333,0.0,4,89195860b83ffff,1.0,3.0,51.363879695686954,-2.9189791736696624,5992.2415045821535
89195860b87ffff,232.84722222222223,0.0,1,89195860b83ffff,1.0,3.0,51.35152269683039,-2.9032772065512855,2947.4565135232137
89195861bb7ffff,93.51785714285714,0.0,5,8919586e613ffff,1.0,3.0,51.359236694567166,-2.9847538997719316,1183.779709870816
891958395abffff,385.2916666666667,0.0,7,8919583942fffff,1.0,6.0,51.46621614312053,-2.523003654099414,4877.148293566805
89195839a7bffff,462.6666666666667,0.0,13,89195839eb7ffff,1.0,11.0,51.406367441420535,-2.5747730398294855,5856.586422814512
89195839243ffff,269.76785714285717,0.0,2,8919587652fffff,1.0,2.0,51.46583811488542,-2.6090630587285113,3414.810020435062
8919587513bffff,197.40972222222223,0.0,19,89195862eb3ffff,1.0,4.0,51.42801490419478,-2.770341585069241,2498.8770149097645
8919580cb27ffff,22.033333333333335,0.0,8,8919587652fffff,1.0,2.0,51.49063538247666,-2.599624327361931,278.9051603372041
89195839023ffff,65.875,0.0,4,8919583901bffff,2.0,6.0,51.45844953923134,-2.5590053124544863,833.8673572108919
89195839697ffff,155.98809523809524,0.0,7,8919583942fffff,1.0,6.0,51.489729208307466,-2.5730110919006695,1974.548474118427
89195876807ffff,480.3095238095238,0.0,7,89195876c73ffff,1.0,2.0,51.422437574837375,-2.615395837336034,6079.915495442422
89195876427ffff,164.38888888888889,0.0,7,8919587652fffff,1.0,2.0,51.48842959139983,-2.632512721686659,2080.888475637385
8919583b373ffff,42.802083333333336,0.0,7,8919583942fffff,1.0,6.0,51.48479998021865,-2.5260725997395213,541.8028100536931
8919586668fffff,47.5,0.0,33,89195862eb3ffff,1.0,4.0,51.36262174941671,-2.7436830771974763,601.2705801520663
89195876567ffff,420.0885416666667,0.0,2,8919587652fffff,1.0,2.0,51.4729483678971,-2.623139945639284,5317.618550803203
891958392a3ffff,125.02380952380952,0.0,2,8919583907bffff,1.0,4.0,51.46214619603271,-2.5840301598075723,1582.5923891621553
891958394a7ffff,239.92857142857142,0.0,4,8919583942fffff,1.0,6.0,51.48138811572128,-2.5370364110434,3037.0945544823917
89195867107ffff,547.5681818181819,0.0,28,89195860b83ffff,1.0,3.0,51.33516731044574,-2.790575324161352,6931.297649571165
8919580cbcfffff,792.7321428571429,0.0,13,8919587652fffff,1.0,2.0,51.50580061294074,-2.6136914983919826,10034.66348296642
